CRED_APR,RISC_ATUAL,PAGO_DIA,PAGO_ATR,VOL_OPER,VOL_OPER_MED,QTD_TITU_OPER,VOL_TOT_OPER,RECOMP,TICK_MED_CED,L1,L2,L3,L4,L5,VALO_TITU_ORIG,VALO_ABER,VALO_LIQU_CEDE,VALO_LIQU,TICK_MED_SACA,VOL_NEG,REL_TITU_TICK,REL_TITU_LIM,REJEITADO,label
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,17.2085,82.7914,0,0,0,323.77,0.00,2565.10,3321.61,279.0883,3349.06,55.9174,0.0107,0,0
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,17.2085,82.7914,0,0,0,323.77,0.00,2565.10,3321.61,279.0883,3349.06,55.9174,0.0107,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,94.0844,5.9155,0,17.1332,3.613,312.43,1070.37,8061.86,13894.47,421.8193,6327.29,53.9589,0.0104,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,94.0844,5.9155,0,17.1332,3.613,312.43,1070.37,8061.86,13894.47,421.8193,6327.29,53.9589,0.0104,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,94.0844,5.9155,0,17.1332,3.613,312.45,1070.37,8061.86,13894.47,421.8193,6327.29,53.9623,0.0104,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,97.7833,2.2166,0,3.5821,3.5821,251.46,0.00,4692.79,12980.63,281.9836,9305.46,43.4289,0.0083,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,97.7833,2.2166,0,3.5821,3.5821,251.46,0.00,4692.79,12980.63,281.9836,9305.46,43.4289,0.0083,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,1145.34,655.89,1124.69,2813.06,314.10,3141.00,197.8085,0.0381,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,1145.34,655.89,1124.69,2813.06,314.10,3141.00,197.8085,0.0381,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,1145.34,655.89,1124.69,2813.06,314.10,3141.00,197.8085,0.0381,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,98.0803,1.9196,0,0,0,391.41,0.00,8787.54,18039.68,311.6776,4051.81,67.5993,0.013,0,1
